"id","score","mf_providers_npi","mf_conditions_projectId"
"513829","6.4370737","1699832873","6001"
"7982184","6.5999146","1326334335","1990"
"872229","5.4104476","1902957400","1420"
"5878097","5.92072","1225085392","5476"
"4814313","40.51568","1730193228","6437"
"5545491","9.605227","1184709297","643"
"7887516","7.390825","1790721140","6255"
"794411","10.604705","1376608422","3820"
"5964858","15.95501","1750585287","6504"
"5446944","41.358025","1578512307","4523"
"2686694","23.470024","1851376693","6338"
"5201809","24.397705","1285620963","6079"
"5416100","48.429813","1710974464","6460"
"5873018","14.991709","1124224092","6091"
"7538182","5.2609425","1528039054","5721"
"6891606","7.9039254","1720298375","6164"
"5307878","7.524759","1457359507","1903"
"8863449","22.82431","1669400933","6247"
"1747544","9.01364","1154600492","5634"
"2718495","16.862207","1215975487","5516"
"9840286","14.302248","1225022775","1796"
"7852687","7.2711973","1609077247","6578"
"3863122","40.79582","1821380874","5776"
"3771856","6.5825715","1962661041","2788"
"8591203","15.430938","1194747618","6334"
"7854094","31.857727","1780638809","4401"
"5285726","5.3222656","1982680716","6282"
"2528633","10.258484","1699785295","5957"
"9709109","11.914493","1861493926","6104"
"27166","7.974138","1285636076","5024"
"6248223","54.437504","1033237987","3115"
"3668262","7.1160135","1467614974","4475"
"7153827","6.3432837","1265475511","4355"
"6316656","8.659727","1962440487","6425"
"1743164","11.923077","1790970788","2459"
"8806867","10.503045","1063485191","6429"
"449257","24.320114","1720064454","6453"
"3045693","30.344864","1528035425","5087"
"6005627","65.34123","1487760328","4496"
"4795499","5.4845586","1518900430","3220"
"5124412","11.970328","1760656151","1304"
"4494995","10.195977","1962630202","907"
"2747905","22.311508","1346549508","6577"
"681089","12.345538","1669437158","6410"
"1459423","6.173669","1609841774","5809"
"8994394","14.772421","1932274461","5875"
"4774971","5.6164603","1245338607","6228"
"4784850","11.618276","1952320806","5707"
"4364510","12.029869","1942401807","6482"
"5777053","9.0268955","1770575185","6596"
"2984269","21.931389","1689677528","5645"
"3335609","7.54546","1770742439","3549"
"2220958","11.298376","1548226962","4592"
"1900287","15.223754","1801859525","2454"
"1953397","6.9629025","1265490676","2708"
"5050419","24.993006","1578790010","933"
"331966","7.5314236","1710095427","6521"
"2699367","21.496262","1740259068","6105"
